got 13 samples| raw_EDA=21.0544 μS | HR=97.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.0544 μS | HR=97.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.0571 μS | HR=97.0 BPM | RMSSD=— ms
got 12 samples| raw_EDA=21.0571 μS | HR=97.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.0627 μS | HR=97.0 BPM | RMSSD=— ms
got 14 samples| raw_EDA=21.0488 μS | HR=97.0 BPM | RMSSD=— ms
got 14 samples| raw_EDA=21.0571 μS | HR=97.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.0585 μS | HR=97.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.0627 μS | HR=97.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.0627 μS | HR=97.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.0710 μS | HR=97.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.0668 μS | HR=97.0 BPM | RMSSD=— ms
got 12 samples| raw_EDA=21.0668 μS | HR=97.0 BPM | RMSSD=— ms
got 14 samples| raw_EDA=21.0696 μS | HR=97.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.0904 μS | HR=97.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.0987 μS | HR=97.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.1057 μS | HR=97.0 BPM | RMSSD=— ms
got 14 samples| raw_EDA=21.1126 μS | HR=97.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.1126 μS | HR=96.9 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.1085 μS | HR=96.9 BPM | RMSSD=— ms
got 14 samples| raw_EDA=21.1140 μS | HR=96.9 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.1196 μS | HR=96.9 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.1209 μS | HR=96.9 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.1293 μS | HR=96.9 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.1293 μS | HR=96.9 BPM | RMSSD=— ms
got 12 samples| raw_EDA=21.1348 μS | HR=96.9 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.1306 μS | HR=96.9 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.1279 μS | HR=96.9 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.1154 μS | HR=96.9 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.1071 μS | HR=96.9 BPM | RMSSD=— ms
got 12 samples| raw_EDA=21.1029 μS | HR=96.9 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.0946 μS | HR=96.9 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.0974 μS | HR=96.9 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.0863 μS | HR=97.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.0904 μS | HR=97.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.0946 μS | HR=97.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.0974 μS | HR=97.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.1029 μS | HR=97.0 BPM | RMSSD=— ms
